username,followers
"('SpaceX',)","(1,)"
"('NASA',)","(1,)"
"('BarackObama',)","(1,)"
"('IvankaTrump',)","(1,)"
"('FLOTUS',)","(1,)"
"('JoeBiden',)","(1,)"
"('SecPompeo',)","(1,)"
"('realjiangfeng',)","(1,)"
"('maoshen04',)","(1,)"
"('realDonaldTrump',)","(1,)"
"('POTUS',)","(1,)"
